Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Protein Ubiquitination Pathway	3.37E+00	1.18E-01	NaN	"ANAPC11,BIRC6,ELOB,HLA-C,HSP90B1,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMC5,PSMD4,PSMD8,PSME2,SACS,STUB1,UBA52,UBB,UBC,UBE2K,UBE2M,UBE2S,UBE3A,USP34,USP49,USP9X"
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.26E+00	1.42E-01	0.333	"AGO2,PAPOLA,PPP2R5E,PRKAR1A,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMC5,PSMD4,PSMD8,PSME2,YWHAE,YWHAG,YWHAZ,ZFP36L1"
Glycolysis I	3.24E+00	3.85E-01	-2.236	"ALDOA,ENO1,GAPDH,PKM,TPI1"
Xenobiotic Metabolism PXR Signaling Pathway	3.20E+00	1.71E-01	-1.155	"CAMK2D,GSTP1,HSP90B1,MGST3,NCOR1,NRIP1,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3,SCAND1"
Coronavirus Replication Pathway	3.06E+00	2.50E-01	-1.134	"COPB1,COPE,IFITM5,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
Breast Cancer Regulation by Stathmin1	2.88E+00	1.19E-01	1.147	"CAMK2D,CCND3,CDK6,GNAQ,GNB2,GNG5,HIF1A,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,PRKD3,RB1CC1,SIVA1,SLC52A2,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
FAT10 Signaling Pathway	2.81E+00	1.88E-01	NaN	"PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMC5,PSMD4,PSMD8,PSME2"
Remodeling of Epithelial Adherens Junctions	2.74E+00	1.84E-01	NaN	"ACTG1,ACTR2,CTNNB1,IQGAP1,NME1,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
Sirtuin Signaling Pathway	2.70E+00	1.10E-01	0.471	"ACLY,ATP5F1D,ATP5MC1,CYC1,FOXO3,H1-2,HIF1A,MT-ND3,MT-ND6,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,PRKDC,SLC25A6,TIMM13,TSPO,TUBA1A,TUBA1B,TUBA1C"
Phospholipase C Signaling	2.58E+00	1.23E-01	0.535	"AHNAK,GNAQ,GNB2,GNG5,HDAC2,ITGAV,ITGB1,MAP2K2,MARCKS,MEF2C,MYL6,NFAT5,PEBP1,PPP1CB,PPP1R12A,PRKD3,RHOC"
Semaphorin Neuronal Repulsive Signaling Pathway	2.58E+00	1.46E-01	-1.155	"DPYSL2,ITGAV,ITGB1,MAP2K2,MAP2K4,MYL6,PPP1CB,PPP1R12A,PRKAR1A,ROCK2,SEMA3A,VCAN"
Chaperone Mediated Autophagy Signaling Pathway	2.42E+00	1.19E-01	1.698	"ATP6V0B,EIF4A1,GPX4,HDAC2,HIF1A,HSP90B1,MAP2K4,MTRNR2L12,NCOR1,PARK7,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSME2,STUB1"
Glucocorticoid Receptor Signaling	2.40E+00	9.89E-02	NaN	"ARID1A,ATP5F1D,ATP5MC1,CYC1,FOXO3,GJA1,HLA-C,HSP90B1,IL6ST,KRT10,MAP2K2,MAP2K4,MT-ND3,MT-ND6,NCOR1,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,NFAT5,NRIP1,PBRM1,POLR2E,POLR2J"
RHOGDI Signaling	2.38E+00	1.28E-01	-0.632	"ACTG1,ACTR2,ARHGAP5,CDH11,CDH2,GNAQ,GNB2,GNG5,ITGAV,ITGB1,MYL6,PPP1R12A,RHOC,ROCK2"
HIPPO signaling	2.34E+00	1.52E-01	-1.342	"FRMD6,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SMAD5,TEAD1,YWHAE,YWHAG,YWHAZ"
Melatonin Signaling	2.31E+00	1.89E-01	1.134	"CAMK2D,GNAQ,MAP2K2,MAP2K4,PRKAR1A,PRKD3,RORB"
Xenobiotic Metabolism CAR Signaling Pathway	2.25E+00	1.47E-01	-0.632	"GSTP1,HSP90B1,MAP2K2,MAP2K4,MGST3,NRIP1,PPP2R5E,PRKD3,RACK1,SCAND1"
Leukocyte Extravasation Signaling	2.24E+00	1.39E-01	0.302	"ACTG1,ARHGAP5,CTNNB1,EDIL3,ITGB1,MAP2K2,MAP2K4,MYL6,PRKD3,ROCK2,TIMP1"
BAG2 Signaling Pathway	2.21E+00	1.45E-01	NaN	"PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMC5,PSMD4,PSMD8,PSME2,STUB1"
Polyamine Regulation in Colon Cancer	2.17E+00	1.63E-01	0.707	"CTNNB1,EIF5A,MAP2K2,MAP2K4,OAZ1,SLC3A2,SRM,TCF4"
Glutathione Redox Reactions I	2.15E+00	2.86E-01	-2	"GPX1,GPX4,GSTP1,MGST3"
Protein Kinase A Signaling	2.07E+00	1.00E-01	1.5	"AKAP13,AKAP9,ANAPC11,CAMK2D,CTNNB1,GNAQ,GNB2,GNG5,H1-2,MAP2K2,MYL6,NFAT5,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3,ROCK2,TCF4,YWHAE,YWHAG,YWHAZ"
ABRA Signaling Pathway	2.06E+00	1.57E-01	0.707	"ACTG1,EGR1,ITGB1,JUNB,MAP2K4,MEF2C,ROCK2,TPM2"
Germ Cell-Sertoli Cell Junction Signaling	2.05E+00	1.21E-01	NaN	"ACTG1,CDH2,CTNNB1,IQGAP1,ITGB1,MAP2K2,MAP2K4,MAP3K2,RHOC,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
RAN Signaling	2.03E+00	2.67E-01	2	"KPNB1,RANBP2,TNPO1,XPO1"
GABA Receptor Signaling	2.00E+00	1.67E-01	NaN	"AP2S1,GNAQ,GNB2,GNG5,UBA52,UBB,UBC"
Axonal Guidance Signaling	1.99E+00	9.64E-02	NaN	"ACTR2,DPYSL2,EPHA3,GNAQ,GNB2,GNG5,ITGAV,ITGB1,MAP2K2,MYL6,NFAT5,PFN1,PFN2,PRKAR1A,PRKD3,ROCK2,RTN4,SDC2,SEMA3A,SEMA3D,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
S100 Family Signaling Pathway	1.93E+00	1.01E-01	0.447	"AHNAK,ATP5F1D,CAMK2D,CTNNB1,HIF1A,IQGAP1,MAP2K2,MAP2K4,PRKAR1A,PRKD3,ROCK2,S100A10,S100A11,S100A13,S100A4,S100A6,SLC52A2,SMAD5,TCF4,TPM2"
Gap Junction Signaling	1.92E+00	1.21E-01	NaN	"ACTG1,CTNNB1,GJA1,GNAQ,MAP2K2,MAP3K2,PRKAR1A,PRKD3,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
Regulation of Actin-based Motility by Rho	1.91E+00	1.38E-01	-0.707	"ACTR2,ITGAV,ITGB1,MYL6,PFN1,PFN2,PPP1CB,PPP1R12A,RHOC"
Signaling by Rho Family GTPases	1.84E+00	1.06E-01	0.577	"ACTG1,ACTR2,CDH11,CDH2,GNAQ,GNB2,GNG5,IQGAP1,ITGAV,ITGB1,MAP2K2,MAP2K4,MYL6,PPP1R12A,RHOC,ROCK2"
ERK5 Signaling	1.82E+00	1.43E-01	2.121	"FOXO3,GNAQ,IL6ST,MAP3K2,MEF2C,YWHAE,YWHAG,YWHAZ"
WNT/β-catenin Signaling	1.82E+00	1.18E-01	0.816	"CDH2,CTNNB1,GJA1,GNAQ,PIN1,PPP2R5E,SOX11,TCF4,TLE4,UBA52,UBB,UBC"
Cardiac β-adrenergic Signaling	1.80E+00	1.27E-01	0	"AKAP13,AKAP9,GNAQ,GNB2,GNG5,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
Caveolar-mediated Endocytosis Signaling	1.75E+00	1.49E-01	NaN	"ACTG1,COPB1,COPE,HLA-C,ITGAV,ITGB1,MAP3K2"
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.75E+00	9.94E-02	3.638	"ACTG1,CDH2,COL1A2,COL3A1,COL5A2,CTNNB1,EGR1,FN1,FOXO3,IL6ST,ITGAV,ITGB1,MAP2K4,NOTCH2,RBBP4,RBPJ,ROCK2,TCF4"
Mechanisms of Viral Exit from Host Cells	1.74E+00	1.85E-01	NaN	"ACTG1,PRKD3,SNF8,VPS28,XPO1"
14-3-3-mediated Signaling	1.73E+00	1.23E-01	1.633	"MAP2K2,MAP2K4,PRKD3,TUBA1A,TUBA1B,TUBA1C,TUBB4B,YWHAE,YWHAG,YWHAZ"
CDC42 Signaling	1.73E+00	1.23E-01	0.378	"ACTR2,EXOC5,HLA-C,IQGAP1,ITGAV,ITGB1,MAP2K4,MYL6,PPP1CB,PPP1R12A"
RHOA Signaling	1.73E+00	1.23E-01	-0.632	"ACTG1,ACTR2,ARHGAP5,KTN1,MYL6,PFN1,PFN2,PPP1CB,PPP1R12A,ROCK2"
Intrinsic Prothrombin Activation Pathway	1.73E+00	5.00E-01	NaN	"COL1A2,COL3A1"
Sucrose Degradation V (Mammalian)	1.73E+00	5.00E-01	NaN	"ALDOA,TPI1"
Sertoli Cell-Sertoli Cell Junction Signaling	1.70E+00	1.13E-01	NaN	"ACTG1,CTNNB1,ITGAV,ITGB1,MAP2K2,MAP2K4,MAP3K2,PRKAR1A,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
RAR Activation	1.66E+00	9.73E-02	-0.943	"ARID1A,CAMK2D,COL1A2,COL3A1,GNAQ,HIF1A,MAP2K4,NCOR1,NR2F1,NRIP1,PBRM1,PRKAR1A,PRMT1,PSMC5,RHOC,RORB,RPL7A,SCAND1"
Actin Cytoskeleton Signaling	1.65E+00	1.05E-01	-0.832	"ACTG1,ACTR2,FN1,IQGAP1,ITGAV,ITGB1,MAP2K2,MYL6,PFN1,PFN2,PPP1CB,PPP1R12A,ROCK2,TMSB10/TMSB4X"
ILK Signaling	1.61E+00	1.07E-01	-0.302	"ACTG1,CTNNB1,FN1,HIF1A,ITGB1,MAP2K4,MYL6,NACA,PPP1R12A,PPP1R14B,PPP2R5E,RHOC,TMSB10/TMSB4X"
Gluconeogenesis I	1.54E+00	2.50E-01	NaN	"ALDOA,ENO1,GAPDH"
Apelin Liver Signaling Pathway	1.54E+00	2.50E-01	NaN	"COL1A2,COL3A1,MAP2K4"
Calcium Signaling	1.53E+00	1.20E-01	2.236	"ASPH,ATP2B1,CAMK2D,HDAC2,MEF2C,MYL6,NFAT5,PRKAR1A,TPM2"
Synaptic Long Term Potentiation	1.47E+00	1.23E-01	0.707	"CAMK2D,GNAQ,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3"
Activin Inhibin Signaling Pathway	1.46E+00	1.08E-01	2.111	"COL1A2,COL3A1,CTNNB1,FOSL2,FOXO3,MAP2K2,MAP2K4,ROCK2,SKIL,SMAD5,TCF4"
NRF2-mediated Oxidative Stress Response	1.46E+00	9.93E-02	-1.265	"ACTG1,CCT7,FTH1,FTL,GSTP1,HSP90B1,JUNB,MAP2K2,MAP2K4,MGST3,PPIB,PRKD3,UBB,UBE2K"
HOTAIR Regulatory Pathway	1.45E+00	1.11E-01	1.667	"AGO2,COL1A2,COL3A1,CTNNB1,HDAC2,KMT2C,RBBP4,RHOC,ROCK2,TCF4"
Apelin Adipocyte Signaling Pathway	1.43E+00	1.40E-01	-1.633	"GPX1,GPX4,GSTP1,HIF1A,MGST3,PRKAR1A"
Epithelial Adherens Junction Signaling	1.43E+00	1.03E-01	1.732	"ACTR2,CDH2,CTNNB1,FRMD6,IQGAP1,NOTCH2,PPP2R5E,ROCK2,TCF4,YWHAE,YWHAG,YWHAZ"
Osteoarthritis Pathway	1.41E+00	1.03E-01	2.111	"CTNNB1,DDR2,FN1,FOXO3,HIF1A,ITGAV,ITGB1,MEF2C,RBPJ,RUNX2,SMAD5,TCF4"
CDK5 Signaling	1.40E+00	1.19E-01	0	"EGR1,ITGB1,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
PCP (Planar Cell Polarity) Pathway	1.40E+00	1.52E-01	0.447	"JUNB,MAP2K4,PFN1,PFN2,ROCK2"
Chemokine Signaling	1.39E+00	1.36E-01	0	"CAMK2D,GNAQ,MAP2K2,PPP1CB,PPP1R12A,ROCK2"
CCR3 Signaling in Eosinophils	1.37E+00	1.18E-01	NaN	"GNAQ,GNB2,GNG5,MAP2K2,PPP1CB,PPP1R12A,PRKD3,ROCK2"
Xenobiotic Metabolism Signaling	1.36E+00	9.85E-02	NaN	"CAMK2D,CYP1B1,FTL,GSTP1,HSP90B1,MAP2K2,MAP2K4,MAP3K2,MGST3,NRIP1,PPP2R5E,PRKD3,SCAND1"
Antigen Presentation Pathway	1.36E+00	2.14E-01	NaN	"HLA-C,PSMB5,PSMB6"
CXCR4 Signaling	1.34E+00	1.06E-01	0	"EGR1,GNAQ,GNB2,GNG5,MAP2K2,MAP2K4,MYL6,PRKD3,RHOC,ROCK2"
BEX2 Signaling Pathway	1.34E+00	1.23E-01	0.378	"CDH2,CTNNB1,HIF1A,LGALS1,MAP2K4,PPP2R5E,TCF4"
Oxytocin Signaling Pathway	1.32E+00	9.70E-02	0.277	"ATP2B1,GJA1,GNAQ,GNB2,GNG5,MAP2K4,MEF2C,MYL6,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,ROCK2"
Opioid Signaling Pathway	1.30E+00	9.63E-02	0.632	"AP2S1,CAMK2D,CLTA,CLTC,CTNNB1,GNAQ,GNB2,GNG5,MAP2K2,MAP2K4,PRKAR1A,PRKD3,TCF4"
Integrin Signaling	1.28E+00	9.56E-02	0.905	"ACTG1,ACTR2,ARHGAP5,ASAP1,ITGAV,ITGB1,MAP2K2,MAP2K4,PFN1,PFN2,PPP1CB,PPP1R12A,RHOC"
CCR5 Signaling in Macrophages	1.26E+00	1.39E-01	NaN	"GNAQ,GNB2,GNG5,MAP2K4,PRKD3"
PI3K/AKT Signaling	1.24E+00	9.91E-02	1.89	"CTNNB1,FOXO3,HSP90B1,IL6ST,ITGAV,ITGB1,MAP2K2,PPP2R5E,YWHAE,YWHAG,YWHAZ"
Acetyl-CoA Biosynthesis III (from Citrate)	1.24E+00	1.00E+00	NaN	ACLY
Thyronamine and Iodothyronamine Metabolism	1.24E+00	1.00E+00	NaN	DIO2
Thyroid Hormone Metabolism I (via Deiodination)	1.24E+00	1.00E+00	NaN	DIO2
Semaphorin Signaling in Neurons	1.21E+00	1.35E-01	NaN	"DPYSL2,ITGB1,RHOC,ROCK2,SEMA3A"
IL-8 Signaling	1.19E+00	9.73E-02	0.333	"CCND3,GNAQ,GNB2,GNG5,IQGAP1,ITGAV,MAP2K2,MAP2K4,PRKD3,RHOC,ROCK2"
GNRH Signaling	1.19E+00	1.00E-01	1.667	"CAMK2D,EGR1,GNAQ,GNB2,GNG5,MAP2K2,MAP2K4,MAP3K2,PRKAR1A,PRKD3"
TEC Kinase Signaling	1.19E+00	1.03E-01	0.447	"ACTG1,GNAQ,GNB2,GNG5,ITGAV,ITGB1,MAP2K4,PRKD3,RHOC"
Virus Entry via Endocytic Pathways	1.16E+00	1.07E-01	NaN	"ACTG1,AP1S1,AP2S1,CLTA,CLTC,HLA-C,ITGB1,PRKD3"
Factors Promoting Cardiogenesis in Vertebrates	1.16E+00	1.07E-01	2.828	"CAMK2D,CTNNB1,MAP2K4,MEF2C,PRKD3,ROCK2,SMAD5,TCF4"
Gα12/13 Signaling	1.16E+00	1.07E-01	0	"CDH11,CDH2,CTNNB1,MAP2K2,MAP2K4,MEF2C,MYL6,ROCK2"
Clathrin-mediated Endocytosis Signaling	1.15E+00	9.57E-02	NaN	"ACTG1,ACTR2,AP1S1,AP2S1,CLTA,CLTC,ITGB1,UBA52,UBB,UBC,USP9X"
Phagosome Maturation	1.14E+00	9.80E-02	NaN	"ATP6V0B,DYNLL1,HLA-C,PRDX2,PRDX5,TUBA1A,TUBA1B,TUBA1C,TUBB4B,VPS28"
Dopamine Receptor Signaling	1.13E+00	1.28E-01	NaN	"PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
Neurovascular Coupling Signaling Pathway	1.13E+00	1.18E-01	1.633	"GJA1,GNAQ,PPP1CB,PPP1R12A,PRKAR1A,ROCK2"
Thrombin Signaling	1.11E+00	9.40E-02	0.816	"CAMK2D,GNAQ,GNB2,GNG5,MAP2K2,MYL6,PPP1CB,PPP1R12A,PRKD3,RHOC,ROCK2"
Role of NFAT in Cardiac Hypertrophy	1.11E+00	9.40E-02	1.667	"CAMK2D,GNAQ,GNB2,GNG5,HDAC2,IL6ST,MAP2K2,MAP2K4,MEF2C,PRKAR1A,PRKD3"
Hepatic Fibrosis Signaling Pathway	1.09E+00	8.29E-02	0.728	"CCDC88A,COL1A2,COL3A1,CTNNB1,FTH1,FTL,HIF1A,ITGAV,ITGB1,MAP2K2,MAP2K4,MYL6,PRKAR1A,PRKD3,RHOC,ROCK2,TCF4,TIMP1"
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	1.08E+00	1.08E-01	2.646	"EGR1,FN1,FOXO3,IL6ST,ITGB1,MAP2K4,RUNX2"
VEGF Signaling	1.06E+00	1.06E-01	0	"ACTG1,EIF1,FOXO3,HIF1A,MAP2K2,ROCK2,YWHAE"
α-Adrenergic Signaling	1.04E+00	1.11E-01	NaN	"GNAQ,GNB2,GNG5,MAP2K2,PRKAR1A,PRKD3"
Cardiac Hypertrophy Signaling (Enhanced)	1.03E+00	8.14E-02	2.5	"AKAP13,CAMK2D,CTNNB1,GNAQ,GNB2,GNG5,HDAC2,IL6ST,ITGAV,ITGB1,MAP2K2,MAP2K4,MAP3K2,MEF2C,NFAT5,PRKAR1A,PRKD3,ROCK2"
Hypoxia Signaling in the Cardiovascular System	1.03E+00	1.04E-01	NaN	"BIRC6,HIF1A,HSP90B1,P4HB,UBE2K,UBE2M,UBE2S"
Circadian Rhythm Signaling	1.03E+00	9.09E-02	NaN	"CAMK2D,GNAQ,GNB2,GNG5,HIF1A,MAP2K2,MAP2K4,PRKAR1A,PRKD3,RACK1,RORB"
CD27 Signaling in Lymphocytes	1.02E+00	1.19E-01	1	"CYC1,MAP2K2,MAP2K4,MAP3K2,SIVA1"
NUR77 Signaling in T Lymphocytes	1.02E+00	1.19E-01	0	"HDAC2,HLA-C,MAP2K2,MAP3K2,PRKD3"
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.02E+00	1.19E-01	0.447	"HSP90B1,IL6ST,JUNB,MAP2K4,TIMP1"
Aryl Hydrocarbon Receptor Signaling	1.02E+00	9.57E-02	-0.816	"CCND3,CDK6,CYP1B1,GSTP1,HSP90B1,MGST3,NEDD8,NR2F1,NRIP1"
Serotonin Receptor Signaling	1.02E+00	8.29E-02	0.5	"CAMK2D,FOXO3,GNAQ,GNB2,GNG5,HIF1A,ITGB1,MAP2K2,MAP2K4,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,RHOC,ROCK2,TEAD1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	9.98E-01	9.47E-02	-0.333	"AP1S1,AP2S1,CLTA,CLTC,HLA-C,ITGB1,MAP2K4,NFAT5,PPP2R5E"
Endocannabinoid Cancer Inhibition Pathway	9.98E-01	9.47E-02	-1	"CCND3,CTNNB1,GNAQ,HIF1A,MAP2K2,MAP2K4,PRKAR1A,ROCK2,TCF4"
CSDE1 Signaling Pathway	9.89E-01	1.16E-01	0.447	"AGO2,CCND3,CTNNB1,FN1,HNRNPC"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	9.89E-01	1.16E-01	NaN	"MDM4,PRKDC,YWHAE,YWHAG,YWHAZ"
Cholecystokinin/Gastrin-mediated Signaling	9.79E-01	1.01E-01	1.134	"GNAQ,MAP2K2,MAP2K4,MEF2C,PRKD3,RHOC,ROCK2"
Insulin Secretion Signaling Pathway	9.76E-01	8.70E-02	0.577	"AGO2,CAMK2D,EIF1,EIF4A1,EIF4G2,GNAQ,PRKAR1A,PRKD3,SEC61B,SSR1,SSR2,SSR4"
Apelin Endothelial Signaling Pathway	9.64E-01	9.64E-02	1.342	"GNAQ,GNB2,GNG5,HIF1A,MAP2K2,MAP2K4,MEF2C,PRKD3"
TR/RXR Activation	9.57E-01	1.14E-01	NaN	"DIO2,ENO1,HIF1A,NCOR1,TBL1XR1"
Cellular Effects of Sildenafil (Viagra)	9.57E-01	1.14E-01	NaN	"ACTG1,MYL6,PPP1CB,PPP1R12A,PRKAR1A"
Estrogen Biosynthesis	9.53E-01	2.00E-01	NaN	"CYP1B1,HSD17B10"
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	9.47E-01	5.00E-01	NaN	FDPS
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	9.47E-01	5.00E-01	NaN	UGDH
Creatine-phosphate Biosynthesis	9.47E-01	5.00E-01	NaN	CKB
NADH Repair	9.47E-01	5.00E-01	NaN	GAPDH
Spermidine Biosynthesis I	9.47E-01	5.00E-01	NaN	SRM
Transcriptional Regulatory Network in Embryonic Stem Cells	9.41E-01	9.52E-02	0.707	"CTNNB1,IL6ST,MAP2K2,RIF1,SET,SKIL,SMAD5,ZFHX3"
Xenobiotic Metabolism AHR Signaling Pathway	9.26E-01	1.11E-01	-0.447	"CYP1B1,GSTP1,HSP90B1,MGST3,NRIP1"
IL-12 Signaling and Production in Macrophages	9.20E-01	9.41E-02	2.828	"COL1A2,COL3A1,DDR2,IL6ST,MAP2K2,NFAT5,PRKD3,PRKDC"
PFKFB4 Signaling Pathway	9.11E-01	1.21E-01	0	"MAP2K2,MAP2K4,PRKAR1A,TKT"
Regulation of the Epithelial-Mesenchymal Transition Pathway	8.98E-01	8.77E-02	NaN	"CDH2,CTNNB1,EGR1,HIF1A,MAP2K2,MAP2K4,NOTCH2,RBPJ,TCF4,ZEB2"
DNA Methylation and Transcriptional Repression Signaling	8.83E-01	9.59E-02	1	"CDK6,HDAC2,RBBP4,SAP18,TCF12,TCF4,TEAD1"
VDR/RXR Activation	8.76E-01	1.18E-01	NaN	"NCOR1,PRKD3,PSMC5,RUNX2"
Crosstalk between Dendritic Cells and Natural Killer Cells	8.76E-01	1.36E-01	NaN	"ACTG1,CAMK2D,HLA-C"
Actin Nucleation by ARP-WASP Complex	8.72E-01	1.00E-01	0.447	"ACTR2,ITGAV,ITGB1,PPP1R12A,RHOC,ROCK2"
Hereditary Breast Cancer Signaling	8.63E-01	8.62E-02	NaN	"ARID1A,CCND3,CDK6,HDAC2,PBRM1,POLR2E,POLR2J,UBA52,UBB,UBC"
Renal Cell Carcinoma Signaling	8.47E-01	9.84E-02	NaN	"ELOB,HIF1A,MAP2K2,UBA52,UBB,UBC"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.43E-01	1.14E-01	1	"GNAQ,GNG5,PRKAR1A,PRKD3"
Cleavage and Polyadenylation of Pre-mRNA	8.19E-01	1.67E-01	NaN	"CPSF2,PAPOLA"
MSP-RON Signaling In Cancer Cells Pathway	8.18E-01	8.89E-02	2.121	"CTNNB1,HIF1A,ITGB1,MAP2K2,TCF4,YWHAE,YWHAG,YWHAZ"
Gαs Signaling	8.12E-01	1.02E-01	NaN	"GNAQ,GNB2,GNG5,MAP2K2,PRKAR1A"
Activation of IRF by Cytosolic Pattern Recognition Receptors	8.11E-01	1.11E-01	0	"ISG15,MAP2K4,PIN1,PPIB"
