Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
RHOGDI Signaling	2.84E+00	1.29E-01	1.155	"ACTA2,ACTG1,ACTR2,ARHGAP5,CDC42,CDH11,CDH2,GNAQ,GNAS,GNB2,ITGAV,ITGB1,PPP1R12A,RND3,ROCK2"
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.76E+00	1.09E-01	-2.683	"ACTA2,ACTG1,CDH2,COL1A2,COL3A1,COL5A2,COL6A2,CTNNB1,EGR1,FN1,FOXO3,IL6ST,ITGAV,ITGB1,JUN,MAP2K4,NOTCH2,RBBP4,ROCK2,TCF4,YY1"
RHOA Signaling	2.75E+00	1.43E-01	0.577	"ACTA2,ACTG1,ACTR2,ARHGAP5,KTN1,PFN1,PPP1CB,PPP1R12A,RND3,ROCK2,SEPTIN11,SEPTIN7"
Axonal Guidance Signaling	2.73E+00	9.85E-02	NaN	"ACTR2,BMP2,BMP3,CDC42,EPHA3,GNAQ,GNAS,GNB2,ITGAV,ITGB1,LNPEP,MAP2K2,NFAT5,PFN1,PRKAR1A,PRKD3,ROCK2,RTN4,SDCBP,SEMA3A,SEMA3D,SEMA3E,TUBA1A,TUBA1B,TUBA1C,TUBB4B,VEGFA"
MSP-RON Signaling In Cancer Cells Pathway	2.72E+00	1.35E-01	-0.277	"ACTA2,CTNNB1,FLNA,HIF1A,ITGB1,JUN,MAP2K2,NFKBIA,TCF4,VEGFA,YWHAE,YWHAG,YWHAZ"
RAR Activation	2.68E+00	1.07E-01	0.218	"ARID1A,CAMK2D,CDC42,COL1A2,COL3A1,CRABP2,GNAQ,HIF1A,JUN,KLF2,MAP2K4,NCOR1,NR2F1,NRIP1,PBRM1,PRKAR1A,PSMC5,RND3,RORB,RPL7A,VEGFA"
Breast Cancer Regulation by Stathmin1	2.65E+00	1.07E-01	-0.894	"CAMK2D,CDK6,GNAQ,GNB2,HIF1A,JUN,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,PRKD3,RB1CC1,SIVA1,TUBA1A,TUBA1B,TUBA1C,TUBB4B,UHMK1,VEGFA"
Inhibition of ARE-Mediated mRNA Degradation Pathway	2.59E+00	1.22E-01	-1	"AGO2,PAPOLA,PPP2R5E,PRKAR1A,PSMA4,PSMB3,PSMB6,PSMC5,PSMD3,PSMD8,TNFRSF11B,YWHAE,YWHAG,YWHAZ,ZFP36L1"
Germ Cell-Sertoli Cell Junction Signaling	2.59E+00	1.26E-01	NaN	"ACTA2,ACTG1,CDC42,CDH2,CTNNB1,ITGB1,MAP2K2,MAP2K4,MAP3K2,RND3,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
VDR/RXR Activation	2.56E+00	1.94E-01	NaN	"IGFBP5,NCOA2,NCOR1,PRKD3,PSMC5,RUNX2,YY1"
Activin Inhibin Signaling Pathway	2.55E+00	1.25E-01	-1.604	"COL1A2,COL3A1,CTNNB1,FOSL2,FOXO3,JUN,MAP2K2,MAP2K4,NFKBIA,ROCK2,SKIL,SMAD5,TCF4,TNFRSF11B"
Neutrophil Extracellular Trap Signaling Pathway	2.54E+00	1.06E-01	1.342	"ATP5F1D,COL1A2,COL3A1,COL5A2,COL6A2,CYC1,HIF1A,ITGB1,MAP2K2,MAP2K4,MT-ND1,MT-ND2,MT-ND3,NDUFB11,NDUFB7,NDUFS5,PRKD3,SLC25A6,TIMM13,TSPO"
VEGF Signaling	2.47E+00	1.47E-01	0.816	"ACTA2,ACTG1,EIF1,EIF1AX,FOXO3,HIF1A,MAP2K2,ROCK2,VEGFA,YWHAE"
TEC Kinase Signaling	2.45E+00	1.32E-01	-0.707	"ACTA2,ACTG1,CDC42,GNAQ,GNAS,GNB2,GTF2I,ITGAV,ITGB1,MAP2K4,PRKD3,RND3"
Wound Healing Signaling Pathway	2.44E+00	1.26E-01	-0.277	"ACTA2,COL1A2,COL3A1,COL5A2,COL6A2,FN1,ITGB1,JUN,MAP2K2,MAP2K4,NFKBIA,TNFRSF11B,VEGFA"
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	2.42E+00	1.45E-01	-1.897	"EGR1,FN1,FOXO3,IL6ST,ITGB1,JUN,MAP2K4,RUNX2,TNFRSF11B,VEGFA"
IL-10 Signaling	2.39E+00	1.36E-01	0.302	"AHR,BMP2,DDIT4,HIF1A,HLA-A,HLA-C,IL6ST,JUN,MAP2K4,NFKBIA,PKM"
HIPPO signaling	2.38E+00	1.43E-01	1.342	"FRMD6,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SMAD5,TEAD1,YWHAE,YWHAG,YWHAZ"
Huntington's Disease Signaling	2.37E+00	1.01E-01	0.816	"ATP5F1D,CLTC,CTSD,DNAJB1,GNAQ,GNB2,GPAA1,JUN,MAP2K4,NCOR1,POLR2E,PRKD3,PSMA4,PSMB3,PSMB6,PSMC5,PSMD3,PSMD8,UBB,UBC,UBE2S"
WNT/β-catenin Signaling	2.34E+00	1.23E-01	-0.707	"CDH2,CSNK1A1,CTNNB1,GJA1,GNAQ,JUN,PIN1,PPP2R5E,SOX11,TCF4,TLE4,UBB,UBC"
Granzyme A Signaling	2.33E+00	1.50E-01	0.333	"FN1,MT-ND1,MT-ND2,MT-ND3,NDUFB11,NDUFB7,NDUFS5,NME1,SET"
Coronavirus Replication Pathway	2.32E+00	2.00E-01	1.633	"COPB1,COPE,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
CDC42 Signaling	2.31E+00	1.33E-01	-0.378	"ACTR2,CDC42,EXOC5,HLA-A,HLA-C,ITGAV,ITGB1,JUN,MAP2K4,PPP1CB,PPP1R12A"
Polyamine Regulation in Colon Cancer	2.30E+00	1.60E-01	0	"CTNNB1,EIF5A,JUN,MAP2K2,MAP2K4,OAZ1,SRM,TCF4"
Melatonin Signaling	2.29E+00	1.75E-01	-1.134	"CAMK2D,GNAQ,MAP2K2,MAP2K4,PRKAR1A,PRKD3,RORB"
14-3-3-mediated Signaling	2.27E+00	1.31E-01	-1.134	"JUN,MAP2K2,MAP2K4,PRKD3,TUBA1A,TUBA1B,TUBA1C,TUBB4B,YWHAE,YWHAG,YWHAZ"
Crosstalk between Dendritic Cells and Natural Killer Cells	2.25E+00	2.27E-01	NaN	"ACTA2,ACTG1,CAMK2D,HLA-A,HLA-C"
NRF2-mediated Oxidative Stress Response	2.23E+00	1.09E-01	1.265	"ACTA2,ACTG1,DNAJB1,DNAJB14,FTH1,FTL,GSTP1,HSP90AA1,JUN,JUNB,MAP2K2,MAP2K4,PPIB,PRKD3,UBB,UBE2K"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	2.21E+00	1.06E-01	NaN	"CAMK2D,CSNK1A1,CTNNB1,FN1,GNAQ,IL6ST,JUN,MAP2K2,MAP2K4,MIF,NFAT5,NFKBIA,PRKD3,ROCK2,TCF4,TNFRSF11B,VEGFA"
OX40 Signaling Pathway	2.17E+00	2.17E-01	NaN	"HLA-A,HLA-C,JUN,MAP2K4,NFKBIA"
Role of NFAT in Regulation of the Immune Response	2.17E+00	1.17E-01	0	"CSNK1A1,GNAQ,GNAS,GNB2,HLA-A,JUN,KPNB1,MAP2K2,MEF2C,NFAT5,NFKBIA,TNPO1,XPO1"
Protein Kinase A Signaling	2.13E+00	9.48E-02	-1.807	"AKAP13,AKAP9,ANAPC11,CAMK2D,CTNNB1,FLNA,GNAQ,GNAS,GNB2,MAP2K2,NFAT5,NFKBIA,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3,ROCK2,TCF4,YWHAE,YWHAG,YWHAZ"
Glucocorticoid Receptor Signaling	2.07E+00	8.90E-02	NaN	"ARID1A,ATP5F1D,CYC1,FOXO3,GJA1,HLA-A,HLA-C,HSP90AA1,IL6ST,JUN,MAP2K2,MAP2K4,MT-ND1,MT-ND2,MT-ND3,NCOA2,NCOR1,NDUFB11,NDUFB7,NDUFS5,NFAT5,NFKBIA,NRIP1,PBRM1,POLR2E,TAF2"
Osteoarthritis Pathway	2.06E+00	1.10E-01	-1.941	"BMP2,CTNNB1,DDIT4,DDR2,FN1,FOXO3,HIF1A,ITGAV,ITGB1,MEF2C,RUNX2,SMAD5,TCF4,VEGFA"
CD27 Signaling in Lymphocytes	2.06E+00	1.59E-01	-1	"CYC1,JUN,MAP2K2,MAP2K4,MAP3K2,NFKBIA,SIVA1"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.05E+00	1.18E-01	-1.265	"CDC42,JUN,MAP2K4,MAP3K2,NFKBIA,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKD3,RND3,TNFRSF11B"
Semaphorin Neuronal Repulsive Signaling Pathway	2.04E+00	1.22E-01	0.302	"ITGAV,ITGB1,MAP2K2,MAP2K4,PPP1CB,PPP1R12A,PRKAR1A,ROCK2,SEMA3A,SEMA3E,VCAN"
RAN Signaling	2.04E+00	2.50E-01	-2	"KPNB1,RANBP2,TNPO1,XPO1"
Regulation of Actin-based Motility by Rho	2.02E+00	1.34E-01	0	"ACTA2,ACTR2,CDC42,ITGAV,ITGB1,PFN1,PPP1CB,PPP1R12A,RND3"
Xenobiotic Metabolism PXR Signaling Pathway	2.01E+00	1.27E-01	0.632	"CAMK2D,GSTP1,HSP90AA1,NCOR1,NRIP1,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3"
ERK5 Signaling	2.00E+00	1.43E-01	-2.121	"FOXO3,GNAQ,IL6ST,MAP3K2,MEF2C,YWHAE,YWHAG,YWHAZ"
Factors Promoting Cardiogenesis in Vertebrates	1.97E+00	1.25E-01	-3.162	"BMP2,BMP3,CAMK2D,CTNNB1,MAP2K4,MEF2C,PRKD3,ROCK2,SMAD5,TCF4"
Gα12/13 Signaling	1.97E+00	1.25E-01	-0.333	"CDC42,CDH11,CDH2,CTNNB1,JUN,MAP2K2,MAP2K4,MEF2C,NFKBIA,ROCK2"
Chemokine Signaling	1.95E+00	1.52E-01	0.378	"CAMK2D,GNAQ,JUN,MAP2K2,PPP1CB,PPP1R12A,ROCK2"
IL-8 Signaling	1.95E+00	1.10E-01	-0.333	"CDC42,GNAQ,GNAS,GNB2,ITGAV,JUN,MAP2K2,MAP2K4,NFKBIA,PRKD3,RND3,ROCK2,VEGFA"
Virus Entry via Endocytic Pathways	1.93E+00	1.23E-01	NaN	"ACTA2,ACTG1,AP2S1,CDC42,CLTC,FLNA,HLA-A,HLA-C,ITGB1,PRKD3"
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.92E+00	1.67E-01	0.816	"ISG15,JUN,MAP2K4,NFKBIA,PIN1,PPIB"
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.90E+00	1.22E-01	NaN	"ACTA2,COL1A2,COL3A1,COL5A2,COL6A2,FN1,IGFBP5,TIMP1,TNFRSF11B,VEGFA"
GNRH Signaling	1.90E+00	1.12E-01	-1.508	"CAMK2D,CDC42,EGR1,GNAQ,GNAS,GNB2,JUN,MAP2K2,MAP2K4,MAP3K2,PRKAR1A,PRKD3"
Mechanisms of Viral Exit from Host Cells	1.86E+00	1.85E-01	NaN	"ACTA2,ACTG1,PRKD3,VPS28,XPO1"
Tumor Microenvironment Pathway	1.86E+00	1.20E-01	-0.333	"COL1A2,COL3A1,FN1,FOXO3,HIF1A,HLA-A,HLA-C,JUN,MAP2K2,VEGFA"
Serotonin Receptor Signaling	1.86E+00	9.36E-02	-0.688	"CAMK2D,CDC42,FOXO3,GNAQ,GNAS,GNB2,HIF1A,ITGB1,JUN,MAP2K2,MAP2K4,NFKBIA,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,RND3,ROCK2,TEAD1"
CDK5 Signaling	1.86E+00	1.27E-01	0.378	"EGR1,GNAS,ITGB1,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
Cardiac β-adrenergic Signaling	1.83E+00	1.19E-01	0.447	"AKAP13,AKAP9,GNAQ,GNAS,GNB2,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A"
Cholecystokinin/Gastrin-mediated Signaling	1.82E+00	1.25E-01	-1.414	"CDC42,GNAQ,JUN,MAP2K2,MAP2K4,MEF2C,PRKD3,RND3,ROCK2"
TR/RXR Activation	1.81E+00	1.43E-01	NaN	"DIO2,ENO1,HIF1A,NCOA2,NCOR1,SLC16A3,TBL1XR1"
Sucrose Degradation V (Mammalian)	1.79E+00	5.00E-01	NaN	"ALDOA,TPI1"
CXCR4 Signaling	1.75E+00	1.11E-01	-0.707	"CDC42,EGR1,GNAQ,GNAS,GNB2,JUN,MAP2K2,MAP2K4,PRKD3,RND3,ROCK2"
S100 Family Signaling Pathway	1.74E+00	8.97E-02	0	"ATP5F1D,BSG,CAMK2D,CTNNB1,CTSD,HIF1A,JUN,MAP2K2,MAP2K4,PRKAR1A,PRKD3,ROCK2,S100A10,S100A11,S100A4,S100A6,SMAD5,TCF4,TPM2,VEGFA"
Aryl Hydrocarbon Receptor Signaling	1.72E+00	1.10E-01	-0.333	"AHR,CDK6,CTSD,CYP1B1,GSTP1,HSP90AA1,JUN,NCOA2,NR2F1,NRIP1,TRIP11"
Endocannabinoid Cancer Inhibition Pathway	1.72E+00	1.10E-01	0.905	"ATF3,CTNNB1,GNAQ,HIF1A,MAP2K2,MAP2K4,NUPR1,PRKAR1A,ROCK2,TCF4,VEGFA"
Actin Cytoskeleton Signaling	1.72E+00	1.00E-01	0.577	"ACTA2,ACTG1,ACTR2,CDC42,FLNA,FN1,ITGAV,ITGB1,MAP2K2,PFN1,PPP1CB,PPP1R12A,ROCK2,TMSB10/TMSB4X"
Renal Cell Carcinoma Signaling	1.71E+00	1.27E-01	NaN	"CDC42,ELOB,HIF1A,JUN,MAP2K2,UBB,UBC,VEGFA"
Apelin Endothelial Signaling Pathway	1.70E+00	1.14E-01	-0.378	"GNAQ,GNAS,GNB2,HIF1A,JUN,KLF2,MAP2K2,MAP2K4,MEF2C,PRKD3"
T Cell Receptor Signaling	1.66E+00	1.08E-01	0.302	"CTNNB1,FOXO3,HLA-A,HLA-C,ITGB1,JUN,MAP2K2,MAP2K4,NFAT5,NFKBIA,TCF4"
CCR5 Signaling in Macrophages	1.66E+00	1.46E-01	0	"GNAQ,GNAS,GNB2,JUN,MAP2K4,PRKD3"
Opioid Signaling Pathway	1.64E+00	9.79E-02	-0.302	"AP2S1,CAMK2D,CDC42,CLTC,CTNNB1,GNAQ,GNAS,GNB2,MAP2K2,MAP2K4,NFKBIA,PRKAR1A,PRKD3,TCF4"
Pathogen Induced Cytokine Storm Signaling Pathway	1.63E+00	1.11E-01	0	"COL1A2,COL3A1,COL5A2,COL6A2,FTH1,FTL,IL6ST,JUN,TNFRSF11B,VEGFA"
MIF Regulation of Innate Immunity	1.61E+00	1.90E-01	0	"JUN,MAP2K4,MIF,NFKBIA"
Pulmonary Healing Signaling Pathway	1.61E+00	1.06E-01	-2.714	"CDC42,CTNNB1,HIF1A,MAP2K4,NFKBIA,NOTCH2,PRKD3,SMAD5,TCF4,TNFRSF11B,VEGFA"
Phagosome Maturation	1.61E+00	1.06E-01	NaN	"CTSD,GPAA1,HLA-A,HLA-C,PRDX2,PRDX5,TUBA1A,TUBA1B,TUBA1C,TUBB4B,VPS28"
CD28 Signaling in T Helper Cells	1.60E+00	1.21E-01	-0.816	"ACTR2,CDC42,HLA-A,JUN,MAP2K2,MAP2K4,NFAT5,NFKBIA"
Graft-versus-Host Disease Signaling	1.58E+00	4.00E-01	NaN	"HLA-A,HLA-C"
Intrinsic Prothrombin Activation Pathway	1.58E+00	4.00E-01	NaN	"COL1A2,COL3A1"
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	1.58E+00	1.05E-01	1.508	"BMP2,BMP3,CSNK1A1,CTNNB1,CTSD,IL6ST,RUNX2,SMAD5,TCF4,TNFRSF11B,VEGFA"
Androgen Signaling	1.58E+00	1.05E-01	0.447	"DNAJB1,GNAQ,GNAS,GNB2,HSP90AA1,JUN,NCOA2,POLR2E,PRKAR1A,PRKD3,TAF2"
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.57E+00	1.40E-01	0	"HSP90AA1,IL6ST,JUNB,MAP2K4,TIMP1,VEGFA"
Corticotropin Releasing Hormone Signaling	1.56E+00	1.19E-01	-0.816	"GNAQ,GNAS,JUN,MAP2K2,MEF2C,PRKAR1A,PRKD3,VEGFA"
BMP signaling pathway	1.56E+00	1.19E-01	-1.414	"BMP2,BMP3,JUN,MAP2K2,MAP2K4,PRKAR1A,RUNX2,SMAD5"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	1.54E+00	1.00E-01	NaN	"BMP2,BMP3,CSNK1A1,CTNNB1,JUN,MAP2K4,NFAT5,NFKBIA,RUNX2,SMAD5,TCF4,TNFRSF11B"
PI3K/AKT Signaling	1.54E+00	1.00E-01	-2.121	"CTNNB1,FOXO3,HSP90AA1,IL6ST,ITGAV,ITGB1,MAP2K2,NFKBIA,PPP2R5E,YWHAE,YWHAG,YWHAZ"
Phospholipase C Signaling	1.53E+00	9.46E-02	-1.265	"CDC42,GNAQ,GNAS,GNB2,ITGAV,ITGB1,MAP2K2,MARCKS,MEF2C,NFAT5,PPP1CB,PPP1R12A,PRKD3,RND3"
Acute Phase Response Signaling	1.52E+00	1.06E-01	-0.333	"CRABP2,FN1,FTL,IL6ST,JUN,MAP2K2,MAP2K4,NFKBIA,TCF4,TNFRSF11B"
PCP (Planar Cell Polarity) Pathway	1.51E+00	1.52E-01	0.447	"JUN,JUNB,MAP2K4,PFN1,ROCK2"
Oxidative Phosphorylation	1.49E+00	1.05E-01	1.897	"ATP5F1D,COX5A,COX6B1,CYC1,MT-ND1,MT-ND2,MT-ND3,NDUFB11,NDUFB7,NDUFS5"
Synaptic Long Term Potentiation	1.46E+00	1.14E-01	-0.707	"CAMK2D,GNAQ,MAP2K2,PPP1CB,PPP1R12A,PPP1R14B,PRKAR1A,PRKD3"
Dendritic Cell Maturation	1.46E+00	1.14E-01	-1.414	"COL1A2,COL3A1,DDR2,HLA-A,HLA-C,MAP2K4,NFKBIA,TNFRSF11B"
IGF-1 Signaling	1.46E+00	1.08E-01	NaN	"CCN1,FOXO3,IGFBP5,JUN,MAP2K2,PRKAR1A,YWHAE,YWHAG,YWHAZ"
HIF1α Signaling	1.44E+00	9.68E-02	-0.577	"CAMK2D,ELOB,HIF1A,HSP90AA1,JUN,LDHA,MAP2K2,MAP2K4,PKM,PRKD3,RACK1,VEGFA"
Antigen Presentation Pathway	1.43E+00	2.14E-01	NaN	"HLA-A,HLA-C,PSMB6"
Apelin Liver Signaling Pathway	1.43E+00	2.14E-01	NaN	"COL1A2,COL3A1,MAP2K4"
Allograft Rejection Signaling	1.42E+00	3.33E-01	NaN	"HLA-A,HLA-C"
Communication between Innate and Adaptive Immune Cells	1.42E+00	3.33E-01	NaN	"HLA-A,HLA-C"
PFKFB4 Signaling Pathway	1.41E+00	1.43E-01	0	"GNAS,MAP2K2,MAP2K4,PRKAR1A,TKT"
Agrin Interactions at Neuromuscular Junction	1.40E+00	1.28E-01	0	"ACTA2,ACTG1,CDC42,ITGB1,JUN,MAP2K4"
Role of Tissue Factor in Cancer	1.40E+00	9.52E-02	-0.577	"CCN1,EGR1,GNAQ,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,P4HB,PPP2R5E,TNFRSF11B,VEGFA"
Epithelial Adherens Junction Signaling	1.40E+00	9.52E-02	-2.309	"ACTR2,CDC42,CDH2,CTNNB1,FRMD6,NOTCH2,PPP2R5E,ROCK2,TCF4,YWHAE,YWHAG,YWHAZ"
Integrin Signaling	1.38E+00	9.22E-02	-0.905	"ACTA2,ACTG1,ACTR2,ARHGAP5,CDC42,ITGAV,ITGB1,MAP2K2,MAP2K4,PFN1,PPP1CB,PPP1R12A,RND3"
fMLP Signaling in Neutrophils	1.37E+00	1.05E-01	-0.378	"ACTR2,CDC42,GNAQ,GNAS,GNB2,MAP2K2,NFAT5,NFKBIA,PRKD3"
CCR3 Signaling in Eosinophils	1.37E+00	1.10E-01	NaN	"GNAQ,GNAS,GNB2,MAP2K2,PPP1CB,PPP1R12A,PRKD3,ROCK2"
PPAR Signaling	1.37E+00	1.10E-01	0.378	"HSP90AA1,JUN,MAP2K2,NCOR1,NFKBIA,NR2F1,NRIP1,TNFRSF11B"
4-1BB Signaling in T Lymphocytes	1.36E+00	1.60E-01	NaN	"JUN,MAP2K2,MAP2K4,NFKBIA"
FAT10 Signaling Pathway	1.36E+00	1.25E-01	NaN	"PSMA4,PSMB3,PSMB6,PSMC5,PSMD3,PSMD8"
Xenobiotic Metabolism AHR Signaling Pathway	1.36E+00	1.25E-01	-0.816	"AHR,CYP1B1,GSTP1,HSP90AA1,NCOA2,NRIP1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.36E+00	1.00E-01	-1.265	"AHR,AP2S1,CLTC,HLA-A,HLA-C,ITGB1,JUN,MAP2K4,NFAT5,PPP2R5E"
Glutathione Redox Reactions I	1.36E+00	2.00E-01	NaN	"GPX4,GSTP1,PTGES"
Dopamine-DARPP32 Feedback in cAMP Signaling	1.32E+00	1.02E-01	-0.707	"CSNK1A1,GNAQ,GNAS,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,PRKAR1A,PRKD3"
Actin Nucleation by ARP-WASP Complex	1.31E+00	1.13E-01	-1.633	"ACTR2,CDC42,ITGAV,ITGB1,PPP1R12A,RND3,ROCK2"
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	1.30E+00	8.97E-02	-0.832	"CDC42,COL1A2,COL3A1,COL5A2,COL6A2,CTNNB1,FOXO3,JUN,MAP2K2,MAP2K4,NFKBIA,RND3,TNFRSF11B"
